project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs
commons-io,testReadFileToByteArray,readFileToByteArray,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/FileUtilsTestCase.java#L1950,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/FileUtils.java#L1812,org.apache.commons.io.FileUtilsTestCase.testReadFileToByteArray(),org.apache.commons.io.FileUtilsTestCase.testReadFileToByteArray(),org.apache.commons.io.FileUtilsTestCase.testReadFileToByteArray(),org.apache.commons.io.FileUtils.readFileToByteArray(java.io.File),org.apache.commons.io.FileUtils.readFileToByteArray(File),org.apache.commons.io.FileUtils.readFileToByteArray(File)
commons-io,testTempFileBelowThreshold,write,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/output/DeferredFileOutputStreamTest.java#L244,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/output/ThresholdingOutputStream.java#L126,org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold(),org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold(),org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold(),"org.apache.commons.io.output.ThresholdingOutputStream.write(byte[], int, int)","org.apache.commons.io.output.ThresholdingOutputStream.write(byte[], int, int)","org.apache.commons.io.output.ThresholdingOutputStream.write(byte[], int, int)"
commons-io,testCopyDirectoryToDirectory_NonExistingDest,copyDirectoryToDirectory,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/FileUtilsTestCase.java#L1294,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/FileUtils.java#L1196,org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),"org.apache.commons.io.FileUtils.copyDirectoryToDirectory(java.io.File, java.io.File)","org.apache.commons.io.FileUtils.copyDirectoryToDirectory(File, File)","org.apache.commons.io.FileUtils.copyDirectoryToDirectory(File, File)"
commons-io,testLargeUTF8WithSingleByteWrite,WriterOutputStream,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/output/WriterOutputStreamTest.java#L73,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/output/WriterOutputStream.java#L189,org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),"org.apache.commons.io.output.WriterOutputStream.WriterOutputStream(java.io.Writer, java.lang.String)","org.apache.commons.io.output.WriterOutputStream.WriterOutputStream(Writer, String)","org.apache.commons.io.output.WriterOutputStream.WriterOutputStream(Writer, String)"
commons-io,testLargeUTF8WithSingleByteWrite,write,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/output/WriterOutputStreamTest.java#L73,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/output/WriterOutputStream.java#L246,org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),org.apache.commons.io.output.WriterOutputStream.write(int),org.apache.commons.io.output.WriterOutputStream.write(int),org.apache.commons.io.output.WriterOutputStream.write(int)
commons-io,testClose,close,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/input/AutoCloseInputStreamTest.java#L54,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/input/AutoCloseInputStream.java#L64,org.apache.commons.io.input.AutoCloseInputStreamTest.testClose(),org.apache.commons.io.input.AutoCloseInputStreamTest.testClose(),org.apache.commons.io.input.AutoCloseInputStreamTest.testClose(),org.apache.commons.io.input.AutoCloseInputStream.close(),org.apache.commons.io.input.AutoCloseInputStream.close(),org.apache.commons.io.input.AutoCloseInputStream.close()
commons-io,testResetting,getCount,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/input/CountingInputStreamTest.java#L106,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/input/CountingInputStream.java#L89,org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStream.getCount(),org.apache.commons.io.input.CountingInputStream.getCount(),org.apache.commons.io.input.CountingInputStream.getCount()
commons-io,testResetting,resetCount,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/input/CountingInputStreamTest.java#L106,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/input/CountingInputStream.java#L107,org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStream.resetCount(),org.apache.commons.io.input.CountingInputStream.resetCount(),org.apache.commons.io.input.CountingInputStream.resetCount()
commons-io,testResetting,read,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/input/CountingInputStreamTest.java#L106,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/input/ProxyInputStream.java#L97,org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStreamTest.testResetting(),"org.apache.commons.io.input.ProxyInputStream.read(byte[], int, int)","org.apache.commons.io.input.ProxyInputStream.read(byte[], int, int)","org.apache.commons.io.input.ProxyInputStream.read(byte[], int, int)"
commons-io,testRead_ReadableByteChannel,read,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/IOUtilsTestCase.java#L603,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/IOUtils.java#L2947,org.apache.commons.io.IOUtilsTestCase.testRead_ReadableByteChannel(),org.apache.commons.io.IOUtilsTestCase.testRead_ReadableByteChannel(),org.apache.commons.io.IOUtilsTestCase.testRead_ReadableByteChannel(),"org.apache.commons.io.IOUtils.read(java.nio.channels.ReadableByteChannel, java.nio.ByteBuffer)","org.apache.commons.io.IOUtils.read(ReadableByteChannel, ByteBuffer)","org.apache.commons.io.IOUtils.read(ReadableByteChannel, ByteBuffer)"
commons-io,testRead_ReadableByteChannel,readFully,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/IOUtilsTestCase.java#L603,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/IOUtils.java#L3070,org.apache.commons.io.IOUtilsTestCase.testRead_ReadableByteChannel(),org.apache.commons.io.IOUtilsTestCase.testRead_ReadableByteChannel(),org.apache.commons.io.IOUtilsTestCase.testRead_ReadableByteChannel(),"org.apache.commons.io.IOUtils.readFully(java.nio.channels.ReadableByteChannel, java.nio.ByteBuffer)","org.apache.commons.io.IOUtils.readFully(ReadableByteChannel, ByteBuffer)","org.apache.commons.io.IOUtils.readFully(ReadableByteChannel, ByteBuffer)"
commons-io,twoLinesAtEnd,read,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/input/WindowsLineEndingInputStreamTest.java#L43,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/input/WindowsLineEndingInputStream.java#L72,org.apache.commons.io.input.WindowsLineEndingInputStreamTest.twoLinesAtEnd(),org.apache.commons.io.input.WindowsLineEndingInputStreamTest.twoLinesAtEnd(),org.apache.commons.io.input.WindowsLineEndingInputStreamTest.twoLinesAtEnd(),org.apache.commons.io.input.WindowsLineEndingInputStream.read(),org.apache.commons.io.input.WindowsLineEndingInputStream.read(),org.apache.commons.io.input.WindowsLineEndingInputStream.read()
commons-io,ourTestClassAcceptedFirstWildcard,accept,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/serialization/ValidatingObjectInputStreamTest.java#L165,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/serialization/ValidatingObjectInputStream.java#L140,org.apache.commons.io.serialization.ValidatingObjectInputStreamTest.ourTestClassAcceptedFirstWildcard(),org.apache.commons.io.serialization.ValidatingObjectInputStreamTest.ourTestClassAcceptedFirstWildcard(),org.apache.commons.io.serialization.ValidatingObjectInputStreamTest.ourTestClassAcceptedFirstWildcard(),org.apache.commons.io.serialization.ValidatingObjectInputStream.accept(java.lang.String...),org.apache.commons.io.serialization.ValidatingObjectInputStream.accept(String[]),org.apache.commons.io.serialization.ValidatingObjectInputStream.accept(String[])
commons-io,testWriteStringBuilder,getAppendable,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/output/AppendableOutputStreamTest.java#L39,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/output/AppendableOutputStream.java#L62,org.apache.commons.io.output.AppendableOutputStreamTest.testWriteStringBuilder(),org.apache.commons.io.output.AppendableOutputStreamTest.testWriteStringBuilder(),org.apache.commons.io.output.AppendableOutputStreamTest.testWriteStringBuilder(),org.apache.commons.io.output.AppendableOutputStream.getAppendable(),org.apache.commons.io.output.AppendableOutputStream.getAppendable(),org.apache.commons.io.output.AppendableOutputStream.getAppendable()
commons-io,testWriteStringBuilder,write,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/output/AppendableOutputStreamTest.java#L39,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/output/AppendableOutputStream.java#L53,org.apache.commons.io.output.AppendableOutputStreamTest.testWriteStringBuilder(),org.apache.commons.io.output.AppendableOutputStreamTest.testWriteStringBuilder(),org.apache.commons.io.output.AppendableOutputStreamTest.testWriteStringBuilder(),org.apache.commons.io.output.AppendableOutputStream.write(int),org.apache.commons.io.output.AppendableOutputStream.write(int),org.apache.commons.io.output.AppendableOutputStream.write(int)
commons-io,testWriteNullBaSucceeds,write,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/output/ProxyOutputStreamTest.java#L57,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/output/ProxyOutputStream.java#L68,org.apache.commons.io.output.ProxyOutputStreamTest.testWriteNullBaSucceeds(),org.apache.commons.io.output.ProxyOutputStreamTest.testWriteNullBaSucceeds(),org.apache.commons.io.output.ProxyOutputStreamTest.testWriteNullBaSucceeds(),org.apache.commons.io.output.ProxyOutputStream.write(byte[]),org.apache.commons.io.output.ProxyOutputStream.write(byte[]),org.apache.commons.io.output.ProxyOutputStream.write(byte[])
commons-io,testWriteLines_3argsWithAppendOptionTrue_ShouldNotDeletePreviousFileLines,readFileToString,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/FileUtilsTestCase.java#L2186,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/FileUtils.java#L1799,org.apache.commons.io.FileUtilsTestCase.testWriteLines_3argsWithAppendOptionTrue_ShouldNotDeletePreviousFileLines(),org.apache.commons.io.FileUtilsTestCase.testWriteLines_3argsWithAppendOptionTrue_ShouldNotDeletePreviousFileLines(),org.apache.commons.io.FileUtilsTestCase.testWriteLines_3argsWithAppendOptionTrue_ShouldNotDeletePreviousFileLines(),org.apache.commons.io.FileUtils.readFileToString(java.io.File),org.apache.commons.io.FileUtils.readFileToString(File),org.apache.commons.io.FileUtils.readFileToString(File)
commons-io,testWriteLines_3argsWithAppendOptionTrue_ShouldNotDeletePreviousFileLines,writeLines,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/FileUtilsTestCase.java#L2186,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/FileUtils.java#L2266,org.apache.commons.io.FileUtilsTestCase.testWriteLines_3argsWithAppendOptionTrue_ShouldNotDeletePreviousFileLines(),org.apache.commons.io.FileUtilsTestCase.testWriteLines_3argsWithAppendOptionTrue_ShouldNotDeletePreviousFileLines(),org.apache.commons.io.FileUtilsTestCase.testWriteLines_3argsWithAppendOptionTrue_ShouldNotDeletePreviousFileLines(),"org.apache.commons.io.FileUtils.writeLines(java.io.File, java.util.Collection<?>, boolean)","org.apache.commons.io.FileUtils.writeLines(File, Collection, boolean)","org.apache.commons.io.FileUtils.writeLines(File, Collection, boolean)"
commons-io,testWriteLines_3argsWithAppendOptionTrue_ShouldNotDeletePreviousFileLines,writeStringToFile,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/FileUtilsTestCase.java#L2186,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/FileUtils.java#L2016,org.apache.commons.io.FileUtilsTestCase.testWriteLines_3argsWithAppendOptionTrue_ShouldNotDeletePreviousFileLines(),org.apache.commons.io.FileUtilsTestCase.testWriteLines_3argsWithAppendOptionTrue_ShouldNotDeletePreviousFileLines(),org.apache.commons.io.FileUtilsTestCase.testWriteLines_3argsWithAppendOptionTrue_ShouldNotDeletePreviousFileLines(),"org.apache.commons.io.FileUtils.writeStringToFile(java.io.File, java.lang.String)","org.apache.commons.io.FileUtils.writeStringToFile(File, String)","org.apache.commons.io.FileUtils.writeStringToFile(File, String)"
commons-io,testWriteLines_4argsWithAppendOptionTrue_ShouldNotDeletePreviousFileLines,readFileToString,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/FileUtilsTestCase.java#L2123,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/FileUtils.java#L1799,org.apache.commons.io.FileUtilsTestCase.testWriteLines_4argsWithAppendOptionTrue_ShouldNotDeletePreviousFileLines(),org.apache.commons.io.FileUtilsTestCase.testWriteLines_4argsWithAppendOptionTrue_ShouldNotDeletePreviousFileLines(),org.apache.commons.io.FileUtilsTestCase.testWriteLines_4argsWithAppendOptionTrue_ShouldNotDeletePreviousFileLines(),org.apache.commons.io.FileUtils.readFileToString(java.io.File),org.apache.commons.io.FileUtils.readFileToString(File),org.apache.commons.io.FileUtils.readFileToString(File)
