project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
commons-io,testReadFileToByteArray,readFileToByteArray,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/FileUtilsTestCase.java#L1950,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/FileUtils.java#L1812,org.apache.commons.io.FileUtilsTestCase.testReadFileToByteArray(),org.apache.commons.io.FileUtilsTestCase.testReadFileToByteArray(),org.apache.commons.io.FileUtilsTestCase.testReadFileToByteArray(),org.apache.commons.io.FileUtils.readFileToByteArray(java.io.File),org.apache.commons.io.FileUtils.readFileToByteArray(File),org.apache.commons.io.FileUtils.readFileToByteArray(File),#test-code #test-case-method,#main-code,1,1,1,,
commons-io,testReadFileToByteArray,getTestDirectory,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/FileUtilsTestCase.java#L1950,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/testtools/FileBasedTestCase.java#L29,org.apache.commons.io.FileUtilsTestCase.testReadFileToByteArray(),org.apache.commons.io.FileUtilsTestCase.testReadFileToByteArray(),org.apache.commons.io.FileUtilsTestCase.testReadFileToByteArray(),org.apache.commons.io.testtools.FileBasedTestCase.getTestDirectory(),org.apache.commons.io.testtools.FileBasedTestCase.getTestDirectory(),org.apache.commons.io.testtools.FileBasedTestCase.getTestDirectory(),#test-code #test-case-method,#test-code #test-helper-method,1,1,,,
commons-io,testTempFileBelowThreshold,write,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/output/DeferredFileOutputStreamTest.java#L244,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/output/ThresholdingOutputStream.java#L126,org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold(),org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold(),org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold(),"org.apache.commons.io.output.ThresholdingOutputStream.write(byte[], int, int)","org.apache.commons.io.output.ThresholdingOutputStream.write(byte[], int, int)","org.apache.commons.io.output.ThresholdingOutputStream.write(byte[], int, int)",#test-code #test-case-method,#main-code,1,1,1,,
commons-io,testTempFileBelowThreshold,DeferredFileOutputStream,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/output/DeferredFileOutputStreamTest.java#L244,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/output/DeferredFileOutputStream.java#L116,org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold(),org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold(),org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold(),"org.apache.commons.io.output.DeferredFileOutputStream.DeferredFileOutputStream(int, java.lang.String, java.lang.String, java.io.File)","org.apache.commons.io.output.DeferredFileOutputStream.DeferredFileOutputStream(int, String, String, File)","org.apache.commons.io.output.DeferredFileOutputStream.DeferredFileOutputStream(int, String, String, File)",#test-code #test-case-method,#main-code,1,1,,,
commons-io,testTempFileBelowThreshold,getFile,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/output/DeferredFileOutputStreamTest.java#L244,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/output/DeferredFileOutputStream.java#L239,org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold(),org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold(),org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold(),org.apache.commons.io.output.DeferredFileOutputStream.getFile(),org.apache.commons.io.output.DeferredFileOutputStream.getFile(),org.apache.commons.io.output.DeferredFileOutputStream.getFile(),#test-code #test-case-method,#main-code,1,1,,,
commons-io,testTempFileBelowThreshold,close,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/output/DeferredFileOutputStreamTest.java#L244,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/output/DeferredFileOutputStream.java#L251,org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold(),org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold(),org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold(),org.apache.commons.io.output.DeferredFileOutputStream.close(),org.apache.commons.io.output.DeferredFileOutputStream.close(),org.apache.commons.io.output.DeferredFileOutputStream.close(),#test-code #test-case-method,#main-code,1,1,,,
commons-io,testTempFileBelowThreshold,isInMemory,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/output/DeferredFileOutputStreamTest.java#L244,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/output/DeferredFileOutputStream.java#L201,org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold(),org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold(),org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold(),org.apache.commons.io.output.DeferredFileOutputStream.isInMemory(),org.apache.commons.io.output.DeferredFileOutputStream.isInMemory(),org.apache.commons.io.output.DeferredFileOutputStream.isInMemory(),#test-code #test-case-method,#main-code,1,1,,,
commons-io,testCopyDirectoryToDirectory_NonExistingDest,copyDirectoryToDirectory,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/FileUtilsTestCase.java#L1294,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/FileUtils.java#L1196,org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),"org.apache.commons.io.FileUtils.copyDirectoryToDirectory(java.io.File, java.io.File)","org.apache.commons.io.FileUtils.copyDirectoryToDirectory(File, File)","org.apache.commons.io.FileUtils.copyDirectoryToDirectory(File, File)",#test-code #test-case-method,#main-code,1,1,1,,
commons-io,testCopyDirectoryToDirectory_NonExistingDest,closeQuietly,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/FileUtilsTestCase.java#L1294,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/IOUtils.java#L297,org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.IOUtils.closeQuietly(java.io.OutputStream),org.apache.commons.io.IOUtils.closeQuietly(OutputStream),org.apache.commons.io.IOUtils.closeQuietly(BufferedOutputStream),#test-code #test-case-method,#main-code,1,1,,,
commons-io,testCopyDirectoryToDirectory_NonExistingDest,generateTestData,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/FileUtilsTestCase.java#L1294,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/testtools/TestUtils.java#L64,org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),"org.apache.commons.io.testtools.TestUtils.generateTestData(java.io.OutputStream, long)","org.apache.commons.io.testtools.TestUtils.generateTestData(OutputStream, long)","org.apache.commons.io.testtools.TestUtils.generateTestData(BufferedOutputStream, long)",#test-code #test-case-method,#test-code #test-helper-method,1,1,,,
commons-io,testCopyDirectoryToDirectory_NonExistingDest,getTestDirectory,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/FileUtilsTestCase.java#L1294,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/testtools/FileBasedTestCase.java#L29,org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.testtools.FileBasedTestCase.getTestDirectory(),org.apache.commons.io.testtools.FileBasedTestCase.getTestDirectory(),org.apache.commons.io.testtools.FileBasedTestCase.getTestDirectory(),#test-code #test-case-method,#test-code #test-helper-method,1,1,,,
commons-io,testCopyDirectoryToDirectory_NonExistingDest,writeStringToFile,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/FileUtilsTestCase.java#L1294,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/FileUtils.java#L1962,org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),"org.apache.commons.io.FileUtils.writeStringToFile(java.io.File, java.lang.String, java.lang.String)","org.apache.commons.io.FileUtils.writeStringToFile(File, String, String)","org.apache.commons.io.FileUtils.writeStringToFile(File, String, String)",#test-code #test-case-method,#main-code,1,1,,,
commons-io,testCopyDirectoryToDirectory_NonExistingDest,deleteDirectory,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/FileUtilsTestCase.java#L1294,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/FileUtils.java#L1569,org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtils.deleteDirectory(java.io.File),org.apache.commons.io.FileUtils.deleteDirectory(File),org.apache.commons.io.FileUtils.deleteDirectory(File),#test-code #test-case-method,#main-code,1,1,,,
commons-io,testCopyDirectoryToDirectory_NonExistingDest,getName,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/FileUtilsTestCase.java#L1294,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/FileUtilsTestCase.java#L147,org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtilsTestCase.getName(),org.apache.commons.io.FileUtilsTestCase.getName(),java.io.File.getName(),#test-code #test-case-method,#test-code #test-helper-method,1,1,,,
commons-io,testCopyDirectoryToDirectory_NonExistingDest,sizeOfDirectory,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/FileUtilsTestCase.java#L1294,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/FileUtils.java#L2578,org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),org.apache.commons.io.FileUtils.sizeOfDirectory(java.io.File),org.apache.commons.io.FileUtils.sizeOfDirectory(File),org.apache.commons.io.FileUtils.sizeOfDirectory(File),#test-code #test-case-method,#main-code,1,1,,,
commons-io,testLargeUTF8WithSingleByteWrite,WriterOutputStream,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/output/WriterOutputStreamTest.java#L73,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/output/WriterOutputStream.java#L189,org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),"org.apache.commons.io.output.WriterOutputStream.WriterOutputStream(java.io.Writer, java.lang.String)","org.apache.commons.io.output.WriterOutputStream.WriterOutputStream(Writer, String)","org.apache.commons.io.output.WriterOutputStream.WriterOutputStream(Writer, String)",#test-code #test-case-method,#main-code,2,1,1,,
commons-io,testLargeUTF8WithSingleByteWrite,write,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/output/WriterOutputStreamTest.java#L73,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/output/WriterOutputStream.java#L246,org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),org.apache.commons.io.output.WriterOutputStream.write(int),org.apache.commons.io.output.WriterOutputStream.write(int),org.apache.commons.io.output.WriterOutputStream.write(int),#test-code #test-case-method,#main-code,2,1,1,,
commons-io,testLargeUTF8WithSingleByteWrite,testWithSingleByteWrite,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/output/WriterOutputStreamTest.java#L73,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/output/WriterOutputStreamTest.java#L42,org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),"org.apache.commons.io.output.WriterOutputStreamTest.testWithSingleByteWrite(java.lang.String, java.lang.String)","org.apache.commons.io.output.WriterOutputStreamTest.testWithSingleByteWrite(String, String)","org.apache.commons.io.output.WriterOutputStreamTest.testWithSingleByteWrite(String, String)",#test-code #test-case-method,#test-code #test-helper-method,1,1,,,
commons-io,testLargeUTF8WithSingleByteWrite,close,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/output/WriterOutputStreamTest.java#L73,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/output/WriterOutputStream.java#L269,org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),org.apache.commons.io.output.WriterOutputStream.close(),org.apache.commons.io.output.WriterOutputStream.close(),org.apache.commons.io.output.WriterOutputStream.close(),#test-code #test-case-method,#main-code,2,1,,,
commons-io,testClose,close,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/input/AutoCloseInputStreamTest.java#L54,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/input/AutoCloseInputStream.java#L64,org.apache.commons.io.input.AutoCloseInputStreamTest.testClose(),org.apache.commons.io.input.AutoCloseInputStreamTest.testClose(),org.apache.commons.io.input.AutoCloseInputStreamTest.testClose(),org.apache.commons.io.input.AutoCloseInputStream.close(),org.apache.commons.io.input.AutoCloseInputStream.close(),org.apache.commons.io.input.AutoCloseInputStream.close(),#test-code #test-case-method,#main-code,,0,1,,
commons-io,testClose,close,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/input/AutoCloseInputStreamTest.java#L54,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/input/AutoCloseInputStreamTest.java#L46,org.apache.commons.io.input.AutoCloseInputStreamTest.testClose(),org.apache.commons.io.input.AutoCloseInputStreamTest.testClose(),org.apache.commons.io.input.AutoCloseInputStreamTest.testClose(),org.apache.commons.io.input.AutoCloseInputStreamTest.$1.close(),org.apache.commons.io.input.AutoCloseInputStreamTest.$1.close(),java.io.InputStream.close(),#test-code #test-case-method,#test-code #test-helper-method,1,1,,,
commons-io,testResetting,getCount,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/input/CountingInputStreamTest.java#L106,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/input/CountingInputStream.java#L89,org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStream.getCount(),org.apache.commons.io.input.CountingInputStream.getCount(),org.apache.commons.io.input.CountingInputStream.getCount(),#test-code #test-case-method,#main-code,1,1,1,,
commons-io,testResetting,resetCount,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/input/CountingInputStreamTest.java#L106,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/input/CountingInputStream.java#L107,org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStream.resetCount(),org.apache.commons.io.input.CountingInputStream.resetCount(),org.apache.commons.io.input.CountingInputStream.resetCount(),#test-code #test-case-method,#main-code,1,1,1,,
commons-io,testResetting,read,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/input/CountingInputStreamTest.java#L106,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/input/ProxyInputStream.java#L97,org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStreamTest.testResetting(),"org.apache.commons.io.input.ProxyInputStream.read(byte[], int, int)","org.apache.commons.io.input.ProxyInputStream.read(byte[], int, int)","org.apache.commons.io.input.ProxyInputStream.read(byte[], int, int)",#test-code #test-case-method,#main-code,1,1,1,,
commons-io,testResetting,CountingInputStream,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/input/CountingInputStreamTest.java#L106,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/input/CountingInputStream.java#L43,org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStream.CountingInputStream(java.io.InputStream),org.apache.commons.io.input.CountingInputStream.CountingInputStream(InputStream),org.apache.commons.io.input.CountingInputStream.CountingInputStream(ByteArrayInputStream),#test-code #test-case-method,#main-code,1,1,,,
commons-io,testResetting,close,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/input/CountingInputStreamTest.java#L106,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/input/ProxyInputStream.java#L145,org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.ProxyInputStream.close(),org.apache.commons.io.input.ProxyInputStream.close(),org.apache.commons.io.input.ProxyInputStream.close(),#test-code #test-case-method,#main-code,1,1,,,
commons-io,testRead_ReadableByteChannel,read,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/IOUtilsTestCase.java#L603,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/IOUtils.java#L2947,org.apache.commons.io.IOUtilsTestCase.testRead_ReadableByteChannel(),org.apache.commons.io.IOUtilsTestCase.testRead_ReadableByteChannel(),org.apache.commons.io.IOUtilsTestCase.testRead_ReadableByteChannel(),"org.apache.commons.io.IOUtils.read(java.nio.channels.ReadableByteChannel, java.nio.ByteBuffer)","org.apache.commons.io.IOUtils.read(ReadableByteChannel, ByteBuffer)","org.apache.commons.io.IOUtils.read(ReadableByteChannel, ByteBuffer)",#test-code #test-case-method,#main-code,1,1,1,,
